symbol,provider,base_timeframe,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,confluence_levels,confluence_fibo,alligator_mouth
BNBUSDT,binance,1h,-2.7067815184411756,0,1.0,0.36985844551209873,0.010028602131436238,0.010922207788658267,27.211693847860015,2.25565126536767,0.0,0.0,0.0
BNBUSDT,binance,1h,-2.6614019129792155,0,1.0,0.9783517617129128,-0.024186626868760542,0.11908657870810102,20.34377626269817,2.2178349274826576,0.0,0.0,0.0
BNBUSDT,binance,1h,-8.241851619224462,0,0.75,-0.6461699328597995,-0.14391943994970371,0.7772463992322223,47.845618130809285,2.4185161922438683,0.0,0.0,0.0
BNBUSDT,binance,1h,-7.828590308680305,0,1.0,-0.28939858854402395,-0.004156317079263009,0.002435064381513974,30.751964514519457,3.285903086802688,0.0,0.0,0.0
BNBUSDT,binance,1h,0.028412568315616227,1,1.0,-0.315148766074154,-0.05948135582353615,0.4823152697104024,23.16793082394402,1.5158743168438624,0.0,0.0,0.0
BNBUSDT,binance,1h,0.23419246961907447,1,1.0,-0.23644846905625339,-0.04847320466667175,0.41101479747317515,23.64292718092499,1.4580753038092518,0.0,0.0,0.0
BNBUSDT,binance,1h,0.3425435069675018,1,1.0,-0.22554440172669615,-0.03571042106238404,0.34475200384764926,24.194021769500576,1.3745649303253276,0.0,0.0,0.0
BNBUSDT,binance,1h,0.3003223776062782,1,1.0,-0.27849898213427293,-0.024918595247886772,0.2944224398497254,25.42953305456944,1.3301095572703057,0.0,0.0,0.0
BNBUSDT,binance,1h,-1.5348276439511324,0,1.0,-0.45780541863688023,-0.018464353893162103,0.24466314793535882,26.693750285084864,1.2790230366259294,0.0,0.0,0.0
BNBUSDT,binance,1h,-2.0229404700853593,0,1.0,-0.3266122721717473,-0.09616145631264265,0.8727907064803073,39.168557161080464,1.6857837250711334,0.0,0.0,0.0
BNBUSDT,binance,1h,0.43502167770645883,1,1.0,-0.4840917108394799,-0.07667361567178403,0.7745974020044523,36.39770993449234,1.6497832229355864,0.0,0.0,0.0
BNBUSDT,binance,1h,-1.9273291666011687,0,1.0,-0.3974107467555399,-0.05587450384051284,0.6774879845074326,35.7231438957154,1.6061076388342845,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-0.29762946608683316,-0.014663180272881621,0.21482220296170473,18.181720095826677,1.2478038739640809,0.0,0.0,0.0
BNBUSDT,binance,1h,3.1181515785706893,1,1.0,-1.0100377380723604,-0.0168359981653738,0.2300923949847299,24.606452465683695,1.5590757892853573,0.0,0.0,0.0
BNBUSDT,binance,1h,3.4387503003080155,1,1.0,-1.7743268964115098,-0.03175422379846847,0.35795268375577527,41.69580760704612,1.7193751501540098,0.0,0.0,0.0
BNBUSDT,binance,1h,3.7068081133571127,1,1.0,-1.2340248852081594,-0.06205943880031194,0.6711264439862799,49.551896665024735,1.8534040566785688,0.0,0.0,0.0
BNBUSDT,binance,1h,3.761745004132706,1,1.0,-1.2564815462446335,-0.01587401662326773,0.13856137029753823,24.664405074818326,1.880872502066353,0.0,0.0,0.0
BNBUSDT,binance,1h,-6.510603910976897,0,1.0,-1.0717404898257612,-0.0634693658062201,0.6563755145715944,28.356025301040603,2.106039109768725,0.0,0.0,0.0
BNBUSDT,binance,1h,0.16136481810707437,1,1.0,-0.1101194588205677,-0.034694111877255525,0.7144529946226297,22.70720288041458,1.0530184855955167,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-0.27004120624141215,-0.033631621308097846,0.7044306290085716,23.574982777380335,1.0242863472736885,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-0.5837537382754776,-0.03461692369255392,0.7070799874263383,26.722589188179274,1.0944101667819066,0.0,0.0,0.0
BNBUSDT,binance,1h,0.43301085804489503,1,0.875,-0.7791866595973527,-0.03219851141504444,0.684659519322021,30.153951300549814,1.169891419550655,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-1.2581570035850085,-0.023619217583972594,0.16569528292325086,41.59995656131949,1.4017418732094322,0.0,0.0,0.0
BNBUSDT,binance,1h,1.9898064688644581,1,1.0,-0.8027976811081797,-0.07145864709889599,0.8290654612515593,49.91335395598982,1.435268644688506,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,0.75,-0.14273869836340913,-0.03013034029813349,0.6491274343224798,30.374938762619998,1.4767784099851542,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0497203419164407,1,1.0,-0.4896425013864341,0.016033646609768283,0.2577713699872525,18.89086387760266,0.9027965808360956,0.0,0.0,0.0
BNBUSDT,binance,1h,-0.6999999999999886,0,1.0,-0.5715974849822165,0.012001972749612047,0.14553728444913072,24.269346674326286,0.8305554256912887,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,0.75,-1.3633674618829392,-0.03476707162914421,0.5095746296893642,27.965867936121192,1.3341055724387596,0.0,0.0,0.0
BNBUSDT,binance,1h,0.2862909839093959,1,1.0,-0.3848552251462043,-0.0623057601628704,0.8274103669786375,34.538693482823035,1.337090160906379,0.0,0.0,0.0
BNBUSDT,binance,1h,0.6764447769421622,1,1.0,-0.4732845314552685,-0.06446595956417009,0.8450247454094826,35.742225873765975,1.2355522305774422,0.0,0.0,0.0
BNBUSDT,binance,1h,0.28111820052669145,1,1.0,-0.5688924346191495,-0.06757605574638074,0.8701593518167365,37.531493193583906,1.1888179947325914,0.0,0.0,0.0
BNBUSDT,binance,1h,0.08576008106649624,1,0.875,-0.4756344440952842,-0.06806193159338364,0.8736891547678398,37.32782542432853,1.1423991893357504,0.0,0.0,0.0
BNBUSDT,binance,1h,2.0648191116848693,1,1.0,-0.9594737260821413,-0.009194593519417404,0.14125062653548837,19.78203096377229,1.0324095558424469,0.0,0.0,0.0
BNBUSDT,binance,1h,2.4094779841004765,1,1.0,-1.22964979849916,-0.020784817438110094,0.3101859225020597,27.61278838712286,1.204738992050242,0.0,0.0,0.0
BNBUSDT,binance,1h,6.422292296110413,1,1.0,-3.8445752143535734,-0.08577286805346009,0.4260362036285439,50.665487166850035,3.211146148055206,0.0,0.0,0.0
BNBUSDT,binance,1h,2.6027178523650036,1,1.0,-6.923632183324366,-0.1868633789573862,0.5919324879535364,66.56824802690836,2.9728214763497,0.0,0.0,0.0
BNBUSDT,binance,1h,4.882030036507274,1,1.0,-2.047224776159167,-0.0887931817245881,0.22530585910593248,30.56205651780926,2.441015018253636,0.0,0.0,0.0
BNBUSDT,binance,1h,7.392994061658783,1,1.0,-3.9015109845660088,-0.05849577427831361,0.1489040038769852,36.35826239464635,3.6964970308293936,0.0,0.0,0.0
BNBUSDT,binance,1h,8.2853272207864,1,1.0,-3.792180655414038,-0.05274777196482167,0.2212414119723476,27.732713389603582,4.142663610393195,0.0,0.0,0.0
BNBUSDT,binance,1h,5.61170339606727,1,1.0,-1.983034590226239,-0.06559644437519412,0.31845794121934723,42.54623845364144,2.805851698033636,0.0,0.0,0.0
BNBUSDT,binance,1h,-6.980307505507909,0,0.75,-0.24327625755671586,-0.07370860012489183,0.3962360462980167,32.3913275210374,3.8030750550788848,0.0,0.0,0.0
BNBUSDT,binance,1h,0.9267671696995023,1,1.0,-0.08200681536092824,-0.07655049058121595,0.3471241618234522,19.839683520741644,2.160899731576274,0.0,0.0,0.0
BNBUSDT,binance,1h,-2.765461558998311,0,0.875,-0.11612440889439142,-0.05786897012582077,0.25493109161020167,18.99464250606238,2.304551299165258,0.0,0.0,0.0
BNBUSDT,binance,1h,0.1521195567139273,1,0.75,-1.3469458771221563,-0.07385669300453745,0.838988437045137,53.25901166278822,1.4788044328607381,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-1.6527547977354267,-0.037140293398718806,0.3357676356303152,33.78576049397532,1.9828828525071285,0.0,0.0,0.0
BNBUSDT,binance,1h,-2.309731535643664,0,0.875,-1.665807767133201,-0.057940757707785596,0.4611688613020235,40.77343676743567,1.9247762797030645,0.0,0.0,0.0
BNBUSDT,binance,1h,1.832996413164011,1,1.0,-0.2654698659611614,-0.01543864735760839,0.449353484673086,24.676377976621787,0.9164982065820086,0.0,0.0,0.0
BNBUSDT,binance,1h,5.796406505378599,1,1.0,-3.9443676561912486,-0.12840577296643557,0.7718718464082923,71.71115736141066,2.8982032526893065,0.0,0.0,0.0
BNBUSDT,binance,1h,-1.700000000000017,0,1.0,-4.342996112435404,-0.16272620008950145,0.7808936502644586,74.23678647856168,2.82182379998072,0.0,0.0,0.0
BNBUSDT,binance,1h,2.691589405646681,1,1.0,-1.7153450933072865,-0.020296347789664267,0.16509364009334415,20.191818649786725,1.3457947028233384,0.0,0.0,0.0
BNBUSDT,binance,1h,3.4347018674219214,1,1.0,-2.2017460834869613,-0.04207244633114646,0.3800877657699059,25.59710380479885,1.7173509337109598,0.0,0.0,0.0
BNBUSDT,binance,1h,3.666656202011751,1,1.0,-2.5668715128157316,-0.058968923996512754,0.5189483701634471,28.906479502554127,1.83332810100588,0.0,0.0,0.0
BNBUSDT,binance,1h,0.8239946485360576,1,1.0,-1.078425128865656,-0.10138244097941107,0.8075838925112324,30.36037463198837,1.7600535146394027,0.0,0.0,0.0
BNBUSDT,binance,1h,0.2936994673601703,1,0.875,-0.8262088070101998,-0.10202697493014522,0.8039482486513825,30.99730444649032,2.0630053263982595,0.0,0.0,0.0
BNBUSDT,binance,1h,-2.691403429631208,0,0.75,-0.7872796595091657,-0.09008069164232324,0.7338957499931009,30.081234868008867,2.242836191359348,0.0,0.0,0.0
BNBUSDT,binance,1h,2.6073579493740624,1,0.875,-1.9184801254418757,-0.07974352598800317,0.6927385662316329,34.63049071150725,1.3036789746870339,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-1.4658952252557267,-0.10898706631637654,0.7969296576161083,40.00050174709701,1.3603063936300162,0.0,0.0,0.0
BNBUSDT,binance,1h,0.14827284450419143,1,1.0,-1.1901335716125372,-0.11966322531935013,0.8481671373222639,42.28983611398542,1.517271554958144,0.0,0.0,0.0
BNBUSDT,binance,1h,-1.8295034252321898,0,0.875,-0.9236769058241403,-0.1233754263885616,0.8678483423676163,41.797346252190366,1.5245861876935014,0.0,0.0,0.0
BNBUSDT,binance,1h,0.8139768282318016,1,1.0,-0.30070197678043453,-0.03695082145102079,0.8668916228894243,31.960495558588658,0.8602317176824072,0.0,0.0,0.0
BNBUSDT,binance,1h,0.0,0,1.0,-0.913711569771101,-0.04270400998446373,0.8574898199482454,30.310460857139926,1.0134793448292656,0.0,0.0,0.0
BNBUSDT,binance,1h,0.7889397911856406,1,1.0,-1.5172941963390416,-0.05081600512445465,0.7813371277476252,34.75551841038627,1.1106020881436016,0.0,0.0,0.0
BNBUSDT,binance,1h,0.01619193502844496,1,1.0,-1.9364409277707804,-0.06473747512761817,0.7668048086629349,40.183766381622064,1.3380806497154683,0.0,0.0,0.0
BNBUSDT,binance,1h,0.6159001888765658,1,1.0,-2.1057349459923365,-0.07024835867193263,0.7802588893704919,42.31066755082407,1.340998111234257,0.0,0.0,0.0
BNBUSDT,binance,1h,0.11075067306194342,1,1.0,-2.368195697655949,-0.07750942494700548,0.7856765835780747,45.01760703652903,1.392493269380557,0.0,0.0,0.0
BNBUSDT,binance,1h,-5.094352735982312,0,1.0,-1.9968115642704785,-0.08252398945316358,0.8016790688219502,45.98595432087184,1.4435273598230307,0.0,0.0,0.0
BNBUSDT,binance,1h,-1.728302048581611,0,0.875,-0.39477636526900994,0.03075568740726026,0.13606143273669935,26.263881389250496,1.4402517071513405,0.0,0.0,0.0
BNBUSDT,binance,1h,0.21949802204198932,1,0.875,-0.09645899349704239,-0.03066159257168489,0.584942569530021,19.236189601738662,1.2050197795802495,0.0,0.0,0.0
BNBUSDT,binance,1h,0.09999999999999432,1,0.875,-0.19309457180984016,-0.0314036375705138,0.6011882682716825,20.201948058576097,1.1609609323931733,0.0,0.0,0.0
BNBUSDT,binance,1h,3.4445405369857554,1,1.0,0.2919054354540677,-0.02959248516815905,0.41254891748187983,29.455973398009668,1.7222702684928866,0.0,0.0,0.0
BNBUSDT,binance,1h,-4.224858884106368,0,1.0,1.5770649194944923,-0.018651382839020566,0.12446635571804898,33.08466136768594,2.2485888410637247,0.0,0.0,0.0
