symbol,provider,base_timeframe,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,confluence_levels,confluence_fibo,alligator_mouth
ETHUSDT,binance,1h,-13.076039643886133,0,0.875,-0.1550357889187101,0.01813103053896179,0.03807665543062089,26.862944509476677,10.160396438861266,0.0,0.0,0.0
ETHUSDT,binance,1h,-12.883098094538582,0,0.875,-0.30962312988546975,0.03412430437795964,0.1535395453419155,24.83296714961944,10.735915078782153,0.0,0.0,0.0
ETHUSDT,binance,1h,0.0,0,0.875,-1.2304330829875436,-0.054042159981164795,0.8164353342726136,34.16259609420451,8.803879339273244,0.0,0.0,0.0
ETHUSDT,binance,1h,-13.650681432824967,0,1.0,-1.6160966535752463,-0.06332315368587348,0.7880699399836242,39.4602316850139,9.906814328250924,0.0,0.0,0.0
ETHUSDT,binance,1h,1.9965942528729101,1,1.0,-0.4793312939346227,-0.005690709054529754,0.17340236919598018,20.55845206913287,6.994057471273259,0.0,0.0,0.0
ETHUSDT,binance,1h,2.492400146609725,1,1.0,-0.6849929965977858,-0.009158934522645193,0.25049763460648733,22.49626966997512,7.335998533903987,0.0,0.0,0.0
ETHUSDT,binance,1h,1.0445286978419972,1,1.0,-0.677325888965836,-0.012248094717941556,0.32866469310548607,24.10607446529254,7.014713021580478,0.0,0.0,0.0
ETHUSDT,binance,1h,0.9281650506902679,1,1.0,-0.7700160612865214,-0.015947638272854937,0.43172486738182203,26.146505664102648,6.97834949309746,0.0,0.0,0.0
ETHUSDT,binance,1h,6.898760638260683,1,1.0,-0.786219228598608,-0.021243447533183826,0.5437856755779926,28.746305318625126,6.479060284057573,0.0,0.0,0.0
ETHUSDT,binance,1h,-12.919066932655824,0,1.0,-0.6879289441743843,-0.02570204824982623,0.6094169827303194,31.765956995460506,6.7906693265598586,0.0,0.0,0.0
ETHUSDT,binance,1h,-7.325382793499784,0,1.0,-0.18232889918118758,0.005662010856903489,0.035794015970667226,19.841690375284532,6.104485661249882,0.0,0.0,0.0
ETHUSDT,binance,1h,0.0,0,1.0,-0.10579788827326835,-0.08814163150475579,0.7480910187271992,39.14209350016666,7.792695348417217,0.0,0.0,0.0
ETHUSDT,binance,1h,1.8869444657063923,1,1.0,-0.5679501398125445,-0.09116709400449109,0.7695726253237071,35.840157801183665,9.097222009604641,0.0,0.0,0.0
ETHUSDT,binance,1h,18.76796448595087,1,1.0,-0.8788202415819955,-0.09218658310134774,0.773651009782977,34.145794285470274,9.38398224297545,0.0,0.0,0.0
ETHUSDT,binance,1h,16.909122021520034,1,1.0,-0.6592492078388345,-0.022720294348402198,0.3382445146348898,23.10079439436882,8.45456101076007,0.0,0.0,0.0
ETHUSDT,binance,1h,-38.89791102062327,0,1.0,-1.4176925793932076,-0.02889377284244487,0.3902185775541339,32.28501988137404,9.879110206233324,0.0,0.0,0.0
ETHUSDT,binance,1h,-7.421241657594692,0,0.875,-0.17720425641308193,0.014860375761015343,0.22265399345306025,19.033446810203582,6.184368047995501,0.0,0.0,0.0
ETHUSDT,binance,1h,0.0,0,1.0,-0.41105362255839795,-0.036318261573243894,0.514155151063036,18.92317450163661,7.591038029188043,0.0,0.0,0.0
ETHUSDT,binance,1h,-10.212965050956427,0,1.0,-0.9618876220936173,-0.03403878175175689,0.4849374582391418,22.786846070268055,8.510804209130345,0.0,0.0,0.0
ETHUSDT,binance,1h,4.644930437905259,1,0.75,2.326377574495416,0.04363215347482029,0.17552972408336454,39.423187786250494,16.717362287611344,0.0,0.0,0.0
ETHUSDT,binance,1h,27.1650543671999,1,0.875,1.4396455149976357,0.08106738995496031,0.45811370102917215,42.653814695311084,16.349456328000528,0.0,0.0,0.0
ETHUSDT,binance,1h,33.29526401047315,1,0.875,1.5568676485848805,0.1076230658317886,0.643013731396865,42.4197589363594,21.74735989526865,0.0,0.0,0.0
ETHUSDT,binance,1h,25.452751342893407,1,0.875,1.2581847580923982,0.134087254406625,0.8347852401715885,31.731009785539605,22.17248657106034,0.0,0.0,0.0
ETHUSDT,binance,1h,-23.705958335281593,0,1.0,0.88722246903736,0.1424095882296135,0.871553686624011,28.701360462227697,19.754965279401272,0.0,0.0,0.0
ETHUSDT,binance,1h,0.0,0,1.0,0.3865902862073705,0.01866310212670802,0.08014043453465924,18.096974556353132,14.975784122531115,0.0,0.0,0.0
ETHUSDT,binance,1h,-18.151025612496596,0,1.0,0.7801712437894315,0.013760930400354124,0.05087937265969256,21.86649158908543,15.125854677080387,0.0,0.0,0.0
ETHUSDT,binance,1h,-26.761703780758126,0,1.0,3.8781562469160624,0.0038231551226511106,0.0013412734094901957,40.91333314385813,20.417037807576545,0.0,0.0,0.0
ETHUSDT,binance,1h,40.655723078167284,1,1.0,4.36013924269667,0.04141984447542986,0.11197939267380197,45.11705044520899,20.32786153908368,0.0,0.0,0.0
ETHUSDT,binance,1h,8.61832170045136,1,1.0,4.5958484322988635,0.1093447822586335,0.4250285968587796,52.16134165241254,22.750116328819495,0.0,0.0,0.0
ETHUSDT,binance,1h,-63.85080084671927,0,1.0,4.275912949434026,0.13892158589248288,0.5431972031154224,55.29282470535297,23.00800846719639,0.0,0.0,0.0
ETHUSDT,binance,1h,-63.52390488576748,0,1.0,2.6411463848382395,0.08406733238389986,0.5726839872066355,41.46043357809005,18.03904885767757,0.0,0.0,0.0
ETHUSDT,binance,1h,93.983928563468,1,1.0,6.252120902313459,0.20691496983703275,0.6802389446514829,37.2323925016769,47.09404769866046,0.0,0.0,0.0
