symbol,provider,base_timeframe,setup_primary,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,atr_pct,ema_compression,trend_age_bars,signal_age_bars,dist_ema25_atr,dist_ema80_atr,dist_ema220_atr,dist_reg_atr,hour_utc,is_weekend,dist_pivot_P_atr,nearest_support_distance_atr,nearest_resistance_distance_atr,confluence_levels,confluence_fibo,alligator_mouth,ai_prob_entry,wick_reject_ratio,fractal_distance_atr
XRPUSDT,binance,1h,,0.0501326193691396,1,0.75,-3.4709765354910984,-0.0756835264212128,0.4499819716775908,38.85751685134233,0.025066309684569722,0.844779916573528,3.9034445006323732,1.0,1.0,-3.063398593326549,-4.4590741211335185,-4.646039882350562,-2.5951308253891137,9.0,0.0,-5.460184143137705,1.404275317864938,5.579866698637562,0.0,0.0,0.0,0.0,4.5833333333334645,0.4667619664494344
XRPUSDT,binance,1h,,0.06422504939044194,1,1.0,-2.1730451876728245,-0.060157114621724746,0.24860665268188487,24.325046887712926,0.03211252469522101,1.096177664967435,4.595226821442145,12.0,12.0,-2.121246352766535,-3.426742124106678,-4.2251936354747555,-1.5298337329646874,17.0,0.0,-3.222003490808206,0.3394314244504746,3.378743995676765,0.0,0.0,0.0,0.0,0.7675675675675807,1.912026556078833
XRPUSDT,binance,1h,,0.010920342929033211,1,1.0,-3.671774441609138,-0.07738834178816892,0.304877202459213,36.924944537974085,0.033796570709671216,1.1713770521860256,5.921352621883548,20.0,20.0,-1.7632444760745607,-3.7470816341093096,-4.9555390834654025,-1.3991673661137864,1.0,0.0,-1.3295234513386638,0.4231198520951814,4.521168769240673,0.0,0.0,0.0,0.0,4.714285714285341,1.0770323507877022
XRPUSDT,binance,1h,,0.0,0,0.875,-0.9534337203296325,-0.1091219024217177,0.487262604619926,42.854839750700705,0.03036952238507801,1.0423367100864227,5.024768983552887,27.0,27.0,-0.2741797851443288,-2.5970979226765896,-4.251654318164537,0.6867256306280283,8.0,0.0,-0.5444054445010601,0.8824636640702597,0.4050113085098689,0.0,0.0,0.0,0.0,0.08008658008657565,0.4050113085098689
XRPUSDT,binance,1h,,0.00976681977551852,1,1.0,-0.68994266665705,0.009210918989070395,0.016949681848097087,34.042252627808274,0.03033180224482007,1.051544539602013,4.207480710238844,15.0,15.0,-0.6299513273677494,-1.9185100391249017,-3.9825610588255964,-0.9368617681531235,21.0,0.0,-1.1615970936692435,0.4219993225818388,0.940706823255321,0.0,0.0,0.0,0.0,2.866666666666489,1.081373264115929
XRPUSDT,binance,1h,,-0.0009281332887964844,0,1.0,-1.0238307725475722,0.0012465630200733067,0.0002857165690184349,36.19599977581289,0.029614666221298942,1.0384188162733243,4.809235280615738,17.0,17.0,-1.5421529947972819,-2.9347055407932947,-5.093353009116218,-1.8192734663286285,23.0,0.0,-2.290531752964593,0.055715637234279115,2.1171942149024114,0.0,0.0,0.0,0.0,0.41850220264317567,0.006753410573850651
XRPUSDT,binance,1h,,0.004966184392142914,1,1.0,-1.0868517729727611,-0.010982045410670107,0.02115610532898049,38.89596190348971,0.028838156078569002,1.0089974486046327,4.9056813209093315,19.0,19.0,-1.1657241994998284,-2.66206409133949,-4.9250763305406,-1.3255395921609119,1.0,0.0,-0.9108303108944917,0.27220880484219373,1.959209869246392,0.0,0.0,0.0,0.0,95.50000000000999,0.22192819757834245
XRPUSDT,binance,1h,,0.003536015710472906,1,1.0,-1.2494281645144565,-0.029414909749826412,0.1309105572728635,39.29690912022062,0.03013984289526822,1.0550211038668518,5.066038989924896,22.0,22.0,-0.8566705851177,-2.3845876685023786,-4.620684573866814,-0.8092785850451141,4.0,0.0,-0.9146254266306998,0.21732030995517052,1.9177273153296548,0.0,0.0,0.0,0.0,0.4285714285714446,0.16921123370554564
XRPUSDT,binance,1h,,-0.07790628258196497,0,1.0,-1.2157051413336204,-0.06338048110492565,0.45880718298275414,40.443481823307174,0.028062825819650854,1.000243292687869,5.7309414492917226,29.0,29.0,-2.2018817683794145,-3.930214464412996,-6.465435414085319,-1.6296124169983388,11.0,0.0,-2.8067974042553723,0.5309515191291343,2.676138193731422,0.0,0.0,0.0,0.0,0.055762081784388885,0.6057836124292137
XRPUSDT,binance,1h,,-0.029750812173173102,0,1.0,-0.39537058251779567,-0.17190311420641038,0.8943051209819849,36.24924049819503,0.02479234347764442,0.8842092613019159,5.016923848220213,33.0,3.0,-1.1371702745765557,-3.804670154712675,-5.8266633794146365,1.501867847345156,10.0,1.0,-2.124311754318684,0.6937625729293945,1.0809788927039539,0.0,0.0,0.0,0.0,50.50000000000555,1.250386032605318
