symbol,provider,base_timeframe,setup_primary,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,atr_pct,ema_compression,trend_age_bars,signal_age_bars,dist_ema25_atr,dist_ema80_atr,dist_ema220_atr,dist_reg_atr,hour_utc,is_weekend,dist_pivot_P_atr,nearest_support_distance_atr,nearest_resistance_distance_atr,confluence_levels,confluence_fibo,alligator_mouth,ai_prob_entry,wick_reject_ratio,fractal_distance_atr
DOTUSDT,binance,5m,,0.0006812912110378821,1,0.875,-0.6232345053820653,-0.012541597399839734,0.2119317840532342,18.15172241013029,0.003187087889621761,0.2521430292422279,1.457487758136321,1.0,1.0,-1.1909701888428397,-2.457112707822106,-5.5356585500762225,-1.021031662683468,6.0,1.0,-9.622159077108575,0.3137660568622695,0.9412981705866691,0.0,0.0,0.0,0.0,0.0,2.510128454897877
DOTUSDT,binance,5m,,-0.003707864408241335,0,0.875,-0.6071254539037749,-0.017715068592620876,0.39249093740009966,18.821474010527105,0.003089887006867736,0.2448404918278713,1.48515752098609,3.0,3.0,-1.62121674874913,-3.034294224932814,-6.245433615452261,-1.1338697512166513,6.0,1.0,-10.572123379935995,0.3236364299980033,0.6472728599960784,0.0,0.0,0.0,0.0,1.000000000000222,1.9418185799882353
DOTUSDT,binance,5m,,0.000692274883688393,1,0.875,-0.23408240168037292,-0.02671429903930395,0.7492029839114617,18.1816496005599,0.003077251163117139,0.24422628278707453,1.4931261211430478,1.0,1.0,-1.8493002635784455,-3.3513594196310215,-6.619198389520555,-0.645342953069082,7.0,1.0,-11.265465452469217,0.32496534959049284,0.0,0.0,0.0,0.0,0.0,3000000.0000001136,0.6499306991809136
DOTUSDT,binance,5m,,0.0011515023231802868,1,0.875,-0.4778199486615644,-0.030818207133493813,0.7720276611647464,22.472233290420952,0.0034849767681979418,0.2783527770126152,1.976502502524239,3.0,3.0,-3.4084929020794794,-5.019270209797044,-8.001401412551033,-2.2483059827393106,7.0,1.0,-12.243027573675764,0.430418938137053,2.2955676700641976,0.0,0.0,0.0,0.0,1.3333333333333828,2.869459587580247
DOTUSDT,binance,5m,,0.002143897411313489,1,0.875,-0.6330306016584732,-0.033203643511144826,0.7666003534022943,26.271915201558492,0.0035610258868645373,0.284199990970833,2.1027646890253626,5.0,5.0,-2.56309802949235,-4.391855054922823,-7.408641236460682,-1.4047505129430555,7.0,1.0,-11.700748040153739,0.7020448824092044,1.965725670745847,0.0,0.0,0.0,0.0,0.6666666666666914,1.4040897648184087
DOTUSDT,binance,5m,,-0.004523347193143401,0,0.875,-0.6278940410075096,-0.0349576436956754,0.7692012037117382,27.28051095439542,0.003769455994286245,0.30011592311196217,2.0022755049736753,7.0,7.0,-1.2720200902560064,-3.151264246986863,-6.0770734016267705,-0.12359405538823162,7.0,1.0,-10.25789045561957,0.0,1.0611610816158135,0.0,0.0,0.0,0.0,0.16666666666664817,2.122322163231627
DOTUSDT,binance,5m,,-0.005371222300322609,0,0.875,-0.5496170487820657,-0.035817108132760074,0.7843043375708048,21.540396311451552,0.003712223003225091,0.2957946616115611,1.7223043980276072,1.0,1.0,-1.2516734582023035,-3.1367219964523794,-6.182583572808321,0.13627477457621356,8.0,1.0,-10.685421277818037,0.269380368348382,1.3469018417417904,0.0,0.0,0.0,0.0,0.5000000000000555,1.3469018417417307
DOTUSDT,binance,5m,,0.0,0,0.875,-0.399207404045535,-0.021413054312919635,0.5750393451148966,18.256772963599406,0.004039897906661329,0.3186039358565717,0.5038053119993303,1.0,1.0,-0.6007813258793532,-0.8783685488305095,-1.2864626678305828,0.1199797355160184,17.0,1.0,-6.600826873049578,0.135016913312342,0.2475310077393853,0.0,0.0,0.0,0.0,0.0,0.742593023218046
DOTUSDT,binance,5m,,0.0,0,0.875,-0.38441034205927516,-0.020422308750680164,0.5612081387578922,19.335340066524378,0.003843490319454252,0.30383322683432823,0.5615304169898413,2.0,2.0,-1.1407102752390161,-1.58397664210277,-2.0727039794433657,-0.4242467392309718,17.0,1.0,-7.718678649066926,0.44602316431200834,0.5203603583640579,0.0,0.0,0.0,0.0,0.999999999999778,0.5203603583640579
DOTUSDT,binance,5m,,0.0003288010898021554,1,0.875,-0.3587978600963947,-0.02249862600641917,0.611130863894592,22.556409463368457,0.003854846244835555,0.3049720130407876,0.6788078766569052,4.0,4.0,-1.1717218526262838,-1.742796839059018,-2.281776101710459,-0.38026999258527294,18.0,1.0,-7.955354044989948,0.18529551347024953,0.778241156575071,0.0,0.0,0.0,0.0,0.999999999999778,0.2594137188583954
