symbol,provider,base_timeframe,setup_primary,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,atr_pct,ema_compression,trend_age_bars,signal_age_bars,dist_ema25_atr,dist_ema80_atr,dist_ema220_atr,dist_reg_atr,hour_utc,is_weekend,dist_pivot_P_atr,nearest_support_distance_atr,nearest_resistance_distance_atr,confluence_levels,confluence_fibo,alligator_mouth,ai_prob_entry,wick_reject_ratio,fractal_distance_atr
BTCUSDT,csv,5m,,364.54952859888726,1,0.75,0.5501318188862145,0.005716182299296018,0.062202107790443883,18.60938570160999,182.27476429944343,0.24325963974631223,0.7318318902866162,1.0,1.0,2.2947121243548216,2.718096113456575,2.30801800367066,2.2836803312708125,19.0,0.0,1.9044508693648379,0.40927223407315666,0.2681322902149438,0.0,0.0,0.0,0.0,0.7480844895423348,2.3976440275738886
BTCUSDT,csv,5m,,-275.75649067728955,0,0.875,0.7248290854970018,0.015220748894459584,0.25842301856556615,26.601627383290737,169.16490677281527,0.22476333074927918,0.8716141990863686,10.0,10.0,2.7854963720564343,4.1810652493035025,4.215133925440551,2.5828316222525403,19.0,0.0,4.0231354499981675,1.5301045881083803,0.06416815524613477,0.0,0.0,0.0,0.0,1.7424770351594105,0.9730741626043525
BTCUSDT,csv,5m,,0.0,0,1.0,0.16349728170520655,-0.0084422599171569,0.3995033234062547,18.35293064332967,92.95147528304373,0.12385106513962137,0.4549838900640564,1.0,1.0,0.40562482382755577,1.693923988814103,3.4578194074923574,1.536895266244521,23.0,0.0,5.035028566337465,0.5179584278076188,0.331517062060112,0.0,0.0,0.0,0.0,0.7580910586936089,1.3636147206274822
BTCUSDT,csv,5m,,-112.33199585409602,0,1.0,0.18914312242513365,-0.006433161997513989,0.2647179488039343,20.876474372831108,93.60999654507444,0.12467990460485144,0.4793371952738055,3.0,3.0,0.5532796359729969,1.8781530828631483,3.671375683817943,1.5292775971772796,0.0,0.0,4.422177281041552,0.8267813572959312,0.5816686466148805,0.0,0.0,0.0,0.0,0.0066198324777791365,0.3232560743170648
BTCUSDT,csv,5m,,0.0,0,0.75,0.08119126405822591,-0.005140576979845419,0.20184678832039982,19.326463522762463,94.22157865366073,0.12569748616398393,0.40176563324936115,5.0,5.0,-0.6363672036057338,0.5479910225646958,2.3170169290855407,0.13671253201539987,0.0,0.0,3.1065070675149378,0.4655515289255497,0.10846772200206702,0.0,0.0,0.0,0.0,5.302497687328338,0.9658084835799388
BTCUSDT,csv,5m,,0.0,0,1.0,0.27607400167480567,0.0036174157136863332,0.19584307625219533,19.5183762583041,69.10572443134853,0.09215327758635025,0.272114876861614,1.0,1.0,2.8321131470529304,3.1106263943530945,3.4959838566844383,2.7026023626043734,7.0,0.0,4.683837737951215,0.18645343936442,0.5061809320117979,0.0,0.0,0.0,0.0,0.4190476190475975,2.6070199174160265
BTCUSDT,csv,5m,,-87.85816793203412,0,1.0,0.32834332842940495,0.0050935379784968465,0.2650685217904145,24.58232184168887,73.21513994335652,0.09757971052721533,0.36128635022556344,3.0,3.0,2.7036146098820777,3.309307508212039,3.785290315464478,2.5262868745716958,7.0,0.0,4.982712595813521,0.38578086474821827,0.08399901993975803,0.0,0.0,0.0,0.0,0.47500918779872564,3.022462296339205
BTCUSDT,csv,5m,,38.35819957331114,1,0.875,0.24517497638623187,0.006777897311995514,0.3703469491339292,28.0126018443326,69.01800426703062,0.09204892026379223,0.28979818332230095,7.0,7.0,1.5524413641556547,2.505896876198103,3.1550466194375297,1.148150198425178,7.0,0.0,4.540844136661273,0.33563705943116273,0.6557709177578998,0.0,0.0,0.0,0.0,7.409475465307567,1.5910341245907784
BTCUSDT,csv,5m,,0.0,0,1.0,0.19293097965946332,0.00943301047913069,0.566541307072745,32.32015400415848,70.67340586918573,0.09417359869613859,0.32883253171210375,11.0,11.0,1.9320698594750563,3.115814467941361,3.894604548215756,1.1059708874998275,7.0,0.0,5.370902892420482,0.6086447861255392,0.2960095065847049,0.0,0.0,0.0,0.0,0.5196741469414915,0.6173467864382802
BTCUSDT,csv,5m,,157.52804430600372,1,1.0,0.11721538120362673,0.011130003319631078,0.6451690347227917,38.9619394263066,78.764022153005,0.10492915665699269,0.3897210914534574,15.0,15.0,1.3631829995083815,2.7159596962785355,3.583364760619921,0.4090792792320543,8.0,0.0,5.049259663599323,0.7761792545491139,0.4956577753756084,0.0,0.0,0.0,0.0,0.6386861313868516,0.3238788383665791
