symbol,provider,base_timeframe,setup_primary,pnl,win,alignment,slope_score,regression_slope_pct,regression_r2,adx,atr,atr_pct,ema_compression,trend_age_bars,signal_age_bars,dist_ema25_atr,dist_ema80_atr,dist_ema220_atr,dist_reg_atr,hour_utc,is_weekend,dist_pivot_P_atr,nearest_support_distance_atr,nearest_resistance_distance_atr,confluence_levels,confluence_fibo,alligator_mouth,ai_prob_entry,wick_reject_ratio,fractal_distance_atr
ADAUSDT,binance,5m,,-0.0006399042069130945,0,0.75,-0.04453254208398734,-0.013374582209534466,0.46574959847209596,20.38613107571852,0.000533253505760918,0.21476178242485622,1.667001486392218,1.0,1.0,-0.44110504235714837,-2.557758159086849,-7.985938155053381,0.5052226788859946,20.0,1.0,-21.065653037393744,5.2049494875844305e-14,0.5000748495524223,0.0,0.0,0.0,0.0,0.4999999999999306,0.56258420574641
ADAUSDT,binance,5m,,0.0,0,0.75,-0.1286030437748489,0.011390061969771777,0.4931868759050101,18.570887818572125,0.00040685209013092586,0.16332881980366354,0.9442258248478839,1.0,1.0,-1.4512866292729647,-1.4020629658581716,-6.175998985092851,-2.581079641795333,23.0,1.0,-25.644045063098684,0.39326331087178423,0.15361848080928006,0.0,0.0,0.0,0.0,0.6666666666665433,0.49157913858976443
ADAUSDT,binance,5m,,-0.0005601639936506642,0,0.875,-0.3868809544581068,0.0046132712690209405,0.1004747308179047,19.157075072473376,0.0004668033280422264,0.18784842174737482,1.08042700216664,2.0,2.0,-2.059013556827231,-2.3416928984720453,-6.4210834706133095,-2.7506230630041397,0.0,1.0,-7.497804299465915,0.21422297998471665,0.14281531998987054,0.0,0.0,0.0,0.0,0.1666666666666975,0.8568919199389855
ADAUSDT,binance,5m,,-0.0006345200709458043,0,0.875,-0.35712228931715234,-0.020200183899574228,0.7877627337079635,18.38577379278842,0.0005287667257881749,0.21398896227769115,1.4151273315729818,1.0,1.0,-2.368422623380224,-3.5917268078456885,-7.080241961853689,-1.322945218842903,2.0,1.0,-9.26684634456928,0.14709279912011317,0.8825567947208364,0.0,0.0,0.0,0.0,2.0,1.7020738183902933
ADAUSDT,binance,5m,,-0.0007139256864914234,0,0.875,-0.2930569910879703,-0.005685996527751432,0.13207665837069538,18.070237080677472,0.0005949380720761949,0.24008800325915855,1.0607661038918277,1.0,1.0,-0.4960292183091361,-1.3024562815782443,-4.086094473758824,-0.23887805089168854,4.0,1.0,-7.0595582920807045,0.14707413108499814,0.056028240413285975,0.0,0.0,0.0,0.0,0.25000000000005207,2.0170166548802078
ADAUSDT,binance,5m,,-0.0006725876338791181,0,0.875,-0.323650339323833,-0.006401373433452128,0.13160820418682406,19.56318302775754,0.0005604896948992746,0.22691890481752008,1.2226196767737527,1.0,1.0,-1.1766869199820136,-2.250399810522633,-5.1437668135879955,-1.083086502845515,6.0,1.0,-8.920770614522276,0.19328336331457832,0.6541898450649438,0.0,0.0,0.0,0.0,1.5000000000001041,1.4273232983235542
ADAUSDT,binance,5m,,0.0001678295482207548,1,0.75,-0.12377078659067149,-0.010767220432167256,0.369246397660281,19.615967854064813,0.0005035226996108433,0.203608046749229,0.9327177890836988,1.0,1.0,-0.5096769472979109,-1.6102541987822492,-4.787796168862089,0.07149628016351003,6.0,1.0,-9.334236576886187,0.43331078886903285,1.1254044099792249,0.0,0.0,0.0,0.0,200000.0000000057,1.3902054476213563
ADAUSDT,binance,5m,,0.00012816564477846626,1,0.875,-0.12626521037853894,-0.012862183984697809,0.4491401361536044,21.458801260499968,0.0005183435522154706,0.21053759228898075,1.1996930941081074,3.0,3.0,-2.339670573642423,-3.54372956350478,-6.664851183853549,-1.6918145749521043,7.0,1.0,-11.189490011421988,0.3472600348372601,0.19292224157621993,0.0,0.0,0.0,0.0,0.12499999999998698,0.38584448315249337
ADAUSDT,binance,5m,,0.0,0,0.875,-0.27658107256910447,-0.01741618249004299,0.6037209361985911,25.160692162974314,0.0005234696955327285,0.21322594522718064,1.4904478213465446,5.0,5.0,-3.1812815118592215,-4.6328935069416515,-7.802379003491703,-2.347234028710103,7.0,1.0,-12.417146695349839,0.191033026082284,0.24313294228646135,0.0,0.0,0.0,0.0,0.20000000000003332,0.9551651304115261
ADAUSDT,binance,5m,,-0.0006879574196634597,0,0.875,-0.5422130586411995,-0.021549094039767434,0.6195764365698886,30.29787420217228,0.0005732978497195462,0.23428600315469808,1.8151957014590028,7.0,7.0,-3.6888602309501457,-5.359681447971653,-8.369294902838236,-2.844225276776823,7.0,1.0,-12.733346206637817,0.501484525261414,0.24420116012725432,0.0,0.0,0.0,0.0,1.0,2.267582201182069
